Observation Date,Commercial Electricity Sales,Residential Electricity Sales,Electric Power Capacity Utilization,Electric Power Output,Electric Power Capacity
2025-01-01,122.0642,114.8588,74.0177,111.6936,150.9012
2025-02-01,121.3125,114.6989,72.626,110.0086,151.4728
2025-03-01,120.0225,108.9395,70.2243,106.7781,152.0529
2025-04-01,121.5977,109.7383,71.1432,108.5914,152.6377
2025-05-01,120.54,108.506,69.8745,107.0689,153.2304
2025-06-01,120.9589,109.3378,70.6201,108.6358,153.8312
2025-07-01,121.6845,111.4727,70.8448,109.4078,154.4331
2025-08-01,119.7764,105.1353,68.1602,105.674,155.0377
2025-09-01,120.4257,105.6972,68.8704,107.1935,155.6452
2025-10-01,122.8001,111.5788,70.2655,109.7943,156.2563
2025-11-01,122.8405,106.6757,69.035,108.2951,156.8698
2025-12-01,126.5721,115.9944,72.0488,113.4639,157.482
2026-01-01,125.4926,109.1788,70.0562,110.5731,157.8347
2026-02-01,125.5979,115.2106,70.2103,111.1446,158.3024
2026-03-01,126.4099,109.0526,69.2224,109.8804,158.7353
2026-04-01,128.2708,110.7991,69.851,111.1561,159.1332
2026-05-01,,,68.3776,109.075,159.5185
2026-06-01,,,68.8274,110.0518,159.8954
